fecha,hora,valor,codigo_fase
2021-11-05,07:56:00,7.56,2
2021-11-05,07:57:00,7.57,1
2021-11-05,07:57:00,7.57,3
2021-11-05,08:05:00,8.05,1
2021-11-05,08:05:00,8.05,3
2021-11-05,08:06:00,8.06,1
2021-11-05,08:06:00,8.06,3
2021-11-05,08:07:00,8.07,1
2021-11-05,08:07:00,8.07,3
2021-11-05,08:08:00,8.08,1
2021-11-05,08:08:00,8.08,3
2021-11-05,08:16:00,8.16,1
2021-11-05,08:16:00,8.16,3
2021-11-05,08:17:00,8.17,1
2021-11-05,08:17:00,8.17,3
2021-11-05,08:44:00,8.44,1
2021-11-05,08:44:00,8.44,3
2021-11-05,08:45:00,8.45,1
2021-11-05,08:45:00,8.45,3
2021-11-05,08:52:00,8.52,2
2021-11-05,08:52:00,8.52,3
2021-11-05,08:58:00,8.58,1
2021-11-05,08:58:00,8.58,2
2021-11-05,08:59:00,8.59,1
2021-11-05,08:59:00,8.59,2
2021-11-05,09:14:00,9.14,1
2021-11-05,09:14:00,9.14,2
2021-11-05,09:15:00,9.15,1
2021-11-05,09:15:00,9.15,3
2021-11-05,09:19:00,9.19,1
2021-11-05,09:19:00,9.19,3
2021-11-05,09:20:00,9.2,1
2021-11-05,09:20:00,9.2,3
2021-11-05,09:24:00,9.24,1
2021-11-05,09:24:00,9.24,3
2021-11-05,09:30:00,9.3,1
2021-11-05,09:30:00,9.3,2
2021-11-05,09:40:00,9.4,1
2021-11-05,09:40:00,9.4,2
2021-11-05,09:46:00,9.46,1
2021-11-05,09:46:00,9.46,3
2021-11-05,09:50:00,9.5,1
2021-11-05,09:50:00,9.5,3
2021-11-05,09:51:00,9.51,1
2021-11-05,09:51:00,9.51,3
2021-11-05,09:52:00,9.52,1
2021-11-05,09:52:00,9.52,3
2021-11-05,09:59:00,9.59,1
2021-11-05,09:59:00,9.59,3
2021-11-05,10:02:00,10.02,1
2021-11-05,10:02:00,10.02,3
2021-11-05,10:08:00,10.08,1
2021-11-05,10:08:00,10.08,3
2021-11-05,10:12:00,10.12,1
2021-11-05,10:12:00,10.12,3
2021-11-05,10:13:00,10.13,1
2021-11-06,02:48:00,2.48,3
2021-11-06,03:36:00,3.36,2
2021-11-06,03:36:00,3.36,3
2021-11-06,03:43:00,3.43,1
2021-11-06,03:43:00,3.43,2
2021-11-06,03:51:00,3.51,1
2021-11-06,03:51:00,3.51,2
2021-11-06,04:14:00,4.14,1
2021-11-06,04:14:00,4.14,2
2021-11-06,04:15:00,4.15,1
2021-11-06,04:15:00,4.15,2
2021-11-06,04:24:00,4.24,2
2021-11-06,04:24:00,4.24,3
2021-11-06,04:50:00,4.5,2
2021-11-06,04:50:00,4.5,3
2021-11-06,05:13:00,5.13,2
2021-11-06,05:13:00,5.13,3
2021-11-06,05:21:00,5.21,2
2021-11-06,05:21:00,5.21,3
2021-11-06,05:34:00,5.34,2
2021-11-06,05:34:00,5.34,3
2021-11-06,06:39:00,6.39,2
2021-11-06,06:39:00,6.39,3
2021-11-06,06:45:00,6.45,2
2021-11-06,06:45:00,6.45,3
2021-11-06,08:35:00,8.35,2
2021-11-06,08:35:00,8.35,3
2021-11-06,08:41:00,8.41,1
2021-11-06,08:41:00,8.41,2
2021-11-06,08:42:00,8.42,1
2021-11-06,08:42:00,8.42,2
2021-11-06,08:51:00,8.51,1
2021-11-06,08:51:00,8.51,2
2021-11-06,08:52:00,8.52,1
2021-11-06,08:52:00,8.52,3
2021-11-06,09:08:00,9.08,1
2021-11-06,09:08:00,9.08,3
2021-11-06,09:10:00,9.1,1
2021-11-06,09:10:00,9.1,3
